company,mark,city,year,price,engine,power,transmission,gear,body_type,color,mileage,wheel,generation,equipment,public_date,views,description
Лада,Приора,"Новокузнецк, Кемеровская область",2011,425000,бензин 1.6 л,98л.с.,механика,передний,седан,синий,365200км,левый,1 поколение,,05.05.2024, 1,"Я 3 хозяин до этого ездил дядя. Родной ПТСПробег родной не скручивал. Езжу каждый день без проблем. Состояние автомобиля как у нового недавно автомобиль был покрашен в круг и отполирован.Кузов в идеальном состоянииДелалось капитальный ремонт мотораКлапана не гнуться Коробка передач без хрустов не вылетают, все передачи плавно втыкаютьсяХодовая часть стоят спереди SS20 Сзади заводские Были поменяны стойки стабилизатора, задние были поменяны подшипники Сигнализация Starine a93Салон в отличном состоянии без дырок не прокуренный салонПечка ташкент Охлаждаемая система полностью была поменяна 2 месяца назад, радиатор , помпы , патрупки, прокладки Машина в круг в шумо изоляцииСделан внешний вид под приора 2, зеркала американки повортники, новые штампы. Зимние шины и летниеВся музыка оставлю новому хозяину ( 2 подиума 20) ТОРГ ТОЛЬКО ПРИ ВСТРЕЧЕПЕРЕКУПАМ….НЕ БЕСПОКОИТЬ. ЗА 300 не отдам можете даже не пытаться)"
Changan,UNI-K,Новосибирск,2023,3400000,бензин 2.0 л,232л.с.,АКПП,4WD,,серый,новый автомобиль,левый,1 поколение,2.0 AT Premium,05.05.2024, 1,"Машина в наличии Максимальная комплектация Приезжайте смотрите , с 9 до 21:00 по предварительной договоренности Русифицирован.ЭПТС, СБКТС, готовы Утиль сбор ( 300.600р) оплачен .дополнительно :Ковры в салон и багажник, шторка в багажник."
Mazda,Mazda3,Челябинск,2011,1245000,бензин 1.6 л,105л.с.,АКПП,передний,седан,серебристый,156000км,левый,2 поколение рестайлинг,1.6 AT Touring Plus ,05.05.2024, 0,"ПТС оригинал. Отличное состояние автомобиля.Комплектация «Touring Plus»:• Бензиновый двигатель, 1.6 л., 105 л.с.• Антиблокировочная система• Система курсовой устойчивости• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние подушки безопасности• Оконные шторки безопасности• Система крепления детских автокресел• Иммобилайзер• Центральный замок• Бортовой компьютер• Парктроник задний• Усилитель руля• Регулировка руля• Электростеклоподъемники передние• Электропривод зеркал• Климат-контроль 2-зонный• Подогрев сидений водителя и пассажира• Обогрев зеркал• Медиасистема• Мультифункциональное рулевое колесо• Тканевая обивка салона• Кожаный руль• Складывающееся заднее сидение• Третий задний подголовник• Противотуманные фары• Омыватель фар• Отметки ТО Частично• 2 комплекта ключей"
Peugeot,206,"Обнинск, Калужская область",2004,395000,бензин 1.4 л,75л.с.,АКПП,передний,хэтчбек 5 дв.,красный,95970км,левый,1 поколение рестайлинг,1.4 AT X-Line 5dr.,05.05.2024, 0,"Машина в отличном состоянии, техническая часть на пять с плюсом, включая и заднюю балку ( кто знает поймёт), к указанному пробегу можно приплюсовать 20 тыс.км ( ошибочно указано на техосмотре), ПТС оригинал, стоит автозапуск, на данный момент вложений не требуется, включая и бензин ( полный бак)."
Li,L7,Москва,2024,6890000,бензин 1.5 л гибрид,154л.с.,АКПП,4WD,,черный,25км,левый,1 поколение,,05.05.2024, 0,"Специальные условия:• Максимальная скидка 845000 руб.Автомобиль в наличии в лучшем дилерском центре по результатам 2023 года Автомир Озерная.У нас большой выбор автомобилей в наличии, лучшие менеджеры по продажам и самые выгодные условия на покупку автомобиля LiXiang! Мы с удовольствием сопроводим процесс покупки автомобиля и поможем с передачей аккаунта.Наши преимущества:- самые выгодные условия на покупку автомобиля- помощь в передаче аккаунта- квалифицированные эксперты по продажам- юридическая чистота сделки- отличная репутация и 30-летний опыт в продажах автомобилей- самая большая сеть автосалонов по всей России, 41 дилерский центрТехнические характеристики автомобиля LiXiang L7:⚡️ Двигатель 1.5 л / 449 л.с. / Гибрид⚡️ Запас хода на электричестве 215 км🔥 5.3 с - 0-100 км/ч🔥 Полный привод🔥 ПневмоподвескаОдин владелец. ПТС оригинал. Отличное состояние автомобиля.Комплектация «Pro»:• Гибридный двигатель, 1.5 л., 449 л.с.• Антиблокировочная система• Антипробуксовочная система• Система курсовой устойчивости• Система контроля слепых зон• Система помощи при экстренном торможении• Система предотвращения столкновения• Датчик давления в шинах• ЭРА-ГЛОНАСС• Подушки безопасности водителя• Подушки безопасности пассажира• Боковые передние и задние подушки безопасности• Оконные шторки безопасности• Ламинированные боковые стекла• Блокировка замков задних дверей• Система крепления детских автокресел• Сигнализация с обратной связью• Дистанционный запуск двигателя• Датчик проникновения в салон (датчик объема)• Иммобилайзер• Центральный замок• Бортовой компьютер• Адаптивный круиз-контроль• Парктроник передний и задний• Камера заднего вида• Камера 360°• Система автоматической парковки• Система помощи при старте в гору• Система помощи при спуске с горы• Система контроля за полосой движения• Система управления дальним светом• Датчик света• Датчик дождя• Активный усилитель руля• Пневмоподвеска• Активная подвеска• Запуск двигателя с кнопки• Система доступа без ключа• Доводчик дверей• Регулировка руля• Электрорегулировка сиденья водителя с памятью положения• Электрорегулировка сиденья пассажира• Электрорегулировка задних сидений• Электростеклоподъемники передние и задние• Электропривод зеркал• Электропривод крышки багажника• Декоративное освещение салона• Климат-контроль многозонный• Вентиляция сидений водителя, пассажира и задних пассажиров• Подогрев сидений водителя, пассажира и задних пассажиров• Подогрев руля• Обогрев зеркал• Навигационная система• USB• TV• Голосовое управление• Bluetooth• Hi-Fi• Проекционный дисплей• Электронная приборная панель• Мультифункциональное рулевое колесо• Беспроводная зарядка для телефона• Розетка 12V• Розетка 220V• Кожаная обивка салона• Кожаный руль• Люк• Панорамная крыша• Функция складывания спинки сиденья пассажира• Сиденья с массажем• Передний центральный подлокотник• Регулируемый педальный узел• Размер дисков 20″• Тонированные стекла• Светодиодные фары• Адаптивные фары• Корректор фар"
Лада,2108,Иркутск,1993,80000,бензин 1.3 л,64л.с.,механика,передний,хэтчбек 3 дв.,красный,55000км,левый,1 поколение,1.3 MT 21086,05.05.2024, 0,"Продам ваз 2108Машина в хорошем состоянии! Хороший вариант для любых целей.Я собственник! 1) Кузов:Автомобиль практически весь в родной краске, НЕ ГНИЛАЯ!Имеет жизненные сколы, потертости-это неизбежно!Смотрится вживую как на фото.2) Техническая часть:Двигатель в отличном состоянии. Не дымит, работает ровно, без перебоев. Стоят новые:-бронипровода-бензонасос-карбюратор-генератор и ремень-аккумулятор -залито новое масло и антифриз.Коробка работает исправно, все 5 передачи включаются не вылетают, подвеска отрабатывает как положено.3)Салон Аккуратный, не прокуренный.Стоят электростеклоподъемники Вся электрика работает, фары, приборка Приезжайте, смотрите! Торг уместен! Обмен возможен на гараж!"
Nissan,X-Trail,Новосибирск,2019,2600000,бензин 2.5 л,171л.с.,вариатор,4WD,,черный,126000км,левый,3 поколение рестайлинг,,05.05.2024, 0,Диллерский автомобиль в заводском окрасе Один хозяинБезключевой доступКнопка багажникаСамая богатая комплектацияЗимний пакетПодогрев руляПодогрев сиденийПодогрев лобового стеклаДатчик слепых зон в зеркалахСледение по полосамАдаптивный круиз контрольЛюк
Toyota,Wish,[],2012,1339999,бензин 1.8 л,143л.с.,вариатор,передний,,белый,136000км безпробегапоРФ,правый,2 поколение рестайлинг,1.8 S,05.05.2024, 1,"ВСЕ МОИ ПРЕДЛОЖЕНИЯ АВТО РЕАЛЬНЫЕ..TOYOTA WISH - 2012г -8м .. БОГАТАЯ КОМПЛЕКТАЦИЯ -S-Limited...АУКЦИОН 4 БАЛЛА .. !!!!ВСЯ ПОЛНОСТЬЮ ЦЕЛАЯ МАШИНА, БЕЗ ПОДКРАСОВ И ЗАМЕН И РЕМОНТОВ..АВТОМОБИЛЬ ПОД КЛИЕНТА В ЛИЧНОЕ ПОЛЬЗОВАНИЕ НА ОДИН ГОД.!!!20. 05.2024г БЛИЖАЙШАЯ ПОГРУЗКА ПОРТ TOYAMA СУДНО HANSUNG 011 !!! СУДНО RORO..25. 05. 2024г  ПРИБЫТИЕ м РАЗГРУЗКА СУДНО в г ВЛАДИВОСТОКЕ.15. 05. 2024г ЗАКРЫТИЕ КОНТРАКТА УСПЕВАЙТЕ НА ВАШ РЕЙС. СУДНО RO.ROМАШИНА КУПЛЕНА НА АУКЦИОНЕ ДЛЯ ВАС И НАХОДИТСЯ НА НАШЕЙ СТОЯНКЕ В ПОРТ ТОЯМА, И БУДЕТ ЖДАТЬ ОТПРАВКИ В ЛИЧНОЕ ПОЛЬЗОВАНИЕ. ДЛЯ ДАЛЬНЕЙШЕЙ ОТПРАВКИ В г ВЛАДИВОСТОК, НА ВАШ ПАСПОРТ В ЛИЧНОЕ ПОЛЬЗОВАНИЕ НА ОДИН ГОД .МЫ ВСЁ С ВАМИ ОБГОВАРИВАЕМ ЕСЛИ НАДО ЗАКЛЮЧАЕМ ДОГОВОР В ОБЕ СТОРОНУ.ВЫ ОПЛАЧИВАЕТ ( ИНВОЙС ) В ЯПОНСКУЮ СТОРОНУ,  ОСТАЁТСЯ ОСТАТОК СУММЫ С КОТОРОГО МЫ ВЫЧЕТАЕМ ОПЛАЧЕННУЮ СУММУ ПО ИНВОЙСУ. И ОПЛАЧИВАТЬ ОСТАТОК ВЫ БУДИТЕ КОГДА ПРИЙДЕТ АВТО в г ВЛАДИВОСТОК И РАСТОМОЖИТСЯ и МЫ БУДИМ ВВМЕСТЕ ЕГО ЗАБИРАТЬ.ДАЛЬШЕ ПОСЛЕ ОПЛАТЫ ИНВОЙСА МАШИНА СТАНОВИТСЯ НА ПЕРВЫЙ БЛИЖАЙШИЙ КОНТРАКТ И ВЫХОДИТ С ЯПОНИИ В г ВЛАДИВОСТОК. ДА СРОК ДОСТАВКИ АВТО ПРИМЕРНО 2 НЕДЕЛЕ.ЭКОНОМИЯ ВАШИХ СРЕДСТВ СОСТАВЛЯЕТ МИНИМУМ 150 000т руб И БЕЗ ВСЯКИХ РИСКОВ ПО КУРСАМ ВАЛЮТ. ПРИХОД АВТО ПРИМЕРНО АПРЕЛЬ МЕСЯЦ.А ТАКЖЕ СМОТРИТЕ КАРТОЧКУ ПРОДАВЦА В ЯПОНИИ ЕСТЬ БОЛЬШОЙ ВЫБОР УЖЕ КУПЛЕННЫХ МАШИН В ЛИЧНОЕ ПОЛЬЗОВАНИЕ ПОД ФИЗИКОВ ДЛЯ ВАС НА ОДИН ГОД, И ВСЕ МАШИНЫ НАХОДЯТСЯ НА НАШЕЙ СТОЯНКЕ В ПОРТУ ТОЯМА.ТАКЖЕ ПОКУПАЕМ ЛЮБЫЕ АВТО С АУКЦИОННОВ ЯПОНИИ НА ПРЯМУЮ С НАШЕГО ОФИСА В ЯПОНИИ И В ОНЛАЙН РЕЖИМЕ БЕЗ ВСЯКИХ ПОСРЕДНИКОВ.. СТАЖ НАШЕЙ РАБОТЫ СОСТАВЛЯЕТ 25 ЛЕТ ПЛОДОТВОРНОЙ РАБОТЫ И БОЛЬШОЕ КОЛИЧЕСТВО ПРИВЕЗЁННЫХ МАШИН.ТАКЖЕ ПОКУПАЕМ ЛЮБЫЕ САНКЦИОННЫЕ АВТО С АУКЦИОНОВ ЯПОНИИ БЕЗ ВСЯКИХ РИСКОВ ДЛЯ ВАС, СРОКИ ДОСТАВКИ САНКЦИОННЫХ АВТО СОСТАВЛЯЕТ 2 МЕСЯЦА В г ВЛАДИВОСТОКЕ.ВСЕ ВОПРОСЫ ПО ТЕЛ, ЗВОНИТЕ ОБО ВСЁМ ДОГОВОРИМСЯ и ОТВЕЧУ НА ВСЁ ВАШИ ВОПРОСЫ ПОДРОБНО.."
Zeekr,001,Новосибирск,2023,6599000,электро,536л.с.,АКПП,4WD,,серый,новый автомобиль,левый,1 поколение,100 kWh You,05.05.2024, 1,"Машина в наличии 22 диски Панорама с затемнением Z-SPORTСалон алькантараЭПТС в наличии, ключ-карта, механический ключ, блютуз ключ , зарядная станция, ковры, рем. комплект для колес( все в наличии).. Русифицирован. Передача мастер аккаунта ( установка приложения на телефон)Машина полностью готова к продаже."
Geely,Coolray,"Княгинино, Нижегородская область",2023,2590000,бензин 1.5 л,181л.с.,автомат,передний,,серый,500км,левый,1 поколение рестайлинг,,05.05.2024, 0,"Продам новую машину, еще не ставилась на учет.Утиль сбор оплачен, ПТС действующий.Есть люк, камера 360, 4 режима езды и т.д все остальные вопросы по телефону.По воздуху просьба не беспокоить."
Лада,Приора,Челябинск,2010,299000,бензин 1.6 л,98л.с.,механика,передний,хэтчбек 5 дв.,зеленый,250000км,левый,1 поколение,,05.05.2024, 0,"Модель: ПриораКомплектация: Lada (ВАЗ) Priora I 1.6 MT (98 л.с.) ЛюксОтличное состояние автомобиля.Комплектация «Люкс»:• Бензиновый двигатель, 1.6 л., 98 л.с.• Антиблокировочная система• Подушки безопасности водителя• Подушки безопасности пассажира• Сигнализация• Иммобилайзер• Центральный замок• Бортовой компьютер• Парктроник задний• Датчик света• Датчик дождя• Усилитель руля• Регулировка руля• Электростеклоподъемники передние и задние• Электропривод зеркал• Кондиционер• Климат-контроль 1-зонный• Подогрев сидений водителя и пассажира• Обогрев зеркал• Обогрев стекол• Медиасистема• Тканевая обивка салона• Складывающееся заднее сидение• Противотуманные фары• Отметки ТО Частично• 2 комплекта ключей"
Mazda,Mazda6,Челябинск,2011,1499000,бензин 2.5 л,170л.с.,АКПП,передний,лифтбек,черный,250000км,левый,2 поколение рестайлинг,2.5 AT Sport,05.05.2024, 1,"Модель: Mazda6Комплектация: Mazda 6 II (GH) Рестайлинг 2.5 AT (170 л.с.)Два владельца. ПТС оригинал. Отличное состояние автомобиля.Комплектация:• Бензиновый двигатель, 2.5 л., 170 л.с."
Honda,Civic,Минск,2019,1962113,бензин 1.5 л,205л.с.,механика,передний,седан,синий,75000км,левый,10 поколение,1.5T MT Si,05.05.2024, 0,
Mitsubishi,Pajero,Новосибирск,2004,1000000,бензин 3.5 л,202л.с.,АКПП,4WD,джип/suv 5 дв.,черный,400000км,левый,3 поколение рестайлинг,3.5 AT V6 ,05.05.2024, 1,"Mitsubishi Pajero в максимальной комплектации Exclusive, салон кожа, подогрев передних сидений, подогрев зеркал, люк, две печки и т д. Установлен подогрев двигателя, есть третий ряд сидений, АКБ 100А. ДВС контрактный был установлен в 2017г. есть подтверждающие документы. На данный момент требует внимания кузов, а именно пороги и арки. Я собственник с 2019г. Гос номер Т256ТТ22"
Toyota,Corolla,Горно-Алтайск,1992,180000,бензин 1.5 л,105л.с.,АКПП,передний,седан,серый,444444км,правый,7 поколение,,05.05.2024, 0,"Продаю короллку собственник. По кузову на фото, пороги целые. АКПП хорошая. ДВС дымит. Подвеска на 4. С документами порядок, на учёт встанет. Есть хорошая запаска. Торг есть"
Лада,4x4,"Лопатино, Пензенская область",1997,193000,бензин 1.7 л,79л.с.,механика,4WD,,черный,101154км,левый,1 поколение,1.7 MT,05.05.2024, 0,"Продам НИВУ 21213 хорошее состояние, работает без нареканий. Были произведены:-ремонт двс 2018 г, -замена цепи 2023 г, -замена переднего моста 2021 г включается без проблем-замена пром вала 2023 г Вопросы по телефону и в чате. Торг у капота."
Toyota,Town,Чита,2006,608000,бензин 1.8 л,82л.с.,АКПП,задний,,белый,60000км безпробегапоРФ,правый,3 поколение,,05.05.2024, 0,"КОМПАНИЯ ""АВТОМОБИЛИ С ПРОБЕГОМ""- ПРОДАЖА АВТОМОБИЛЕЙ.- ПРИЕМ АВТО НА КОМИССИЮ.- АВТООБМЕН.- СРОЧНЫЙ ВЫКУП АВТО.- ПОКУПКА И ДОСТАВКА АВТО С ЛЮБОГО АУКЦИОНА ЯПОНИИ🇯🇵 ПО ВАШИМ ПАРАМЕТРАМ.- ОСМОТР И ПРИОБРЕТЕНИЕ АВТОМОБИЛЕЙ ПРОИЗВОДИТСЯ ТОЛЬКО ПО ПРЕДВАРИТЕЛЬНОМУ ЗВОНКУ.☎️- РЕЖИМ РАБОТЫ С 10:00 до 18:00.- ПОНЕДЕЛЬНИК ВЫХОДНОЙ ДЕНЬ!_____________________________________⚡TOYOTA TOWN ACE⚡⚡!!!КОНСТРУКТОР!!! ⚡⚡!!!БЕЗ ПТС!!!⚡✅ИДЕАЛЬНОЕ СОСТОЯНИЕ!!!✅БЕЗ ПРОБЕГА ПО РФ!✅КУПЛЕНА НА АУКЦИОНЕ В ЯПОНИИ!!!🇯🇵✅ОЦЕНКА 3, 5 BC✅АУКЦИОННЫЙ ЛОТ 1043!!!✅ГРУЗОПАССАЖИРСКИЙ!!!🔰4 ДВЕРИ!!!✅КОМПЛЕКТАЦИЯ ""1.8 DX""✅Шикарный цвет ''БЕЛОСНЕЖНЫЙ""✅100% ПОЛНАЯ ФОТО ОПИСЬ С МОМЕНТА ПОКУПКИ В ЯПОНИИ, ДО МОМЕНТА ПРИХОДА В РФ!✅ДОКУМЕНТАЛЬНОЕ ПОДТВЕРЖДЕНИЕ ПОКУПКИ В ЯПОНИИ!~КОМБИНИРОВАННЫЙ ТЕМНЫЙ САЛОН!!!~Чистый, ухоженный и очень просторный. Озонирован.~Трансформер.~Супер салон.~Сиденья раскладываются.~Корректор фар.~Акустическая система с головным устройством TOYOTA.~Брызговики.~Ветровики.~Штатные диски R-14.~Летняя резина R-14.✅ПО ЖЕЛАНИЮ КЛИЕНТА НА АВТОМОБИЛЬ МОЖНО УСТАНОВИТЬ ДОПОЛНИТЕЛЬНЫЕ ОПЦИИ.❗УВАЖАЕМЫЕ ПОЛЬЗОВАТЕЛИ НЕ КОПИРУЙТЕ ТЕКСТ ОБЪЯВЛЕНИЯ❗КОМПАНИЯ ""АВТОМОБИЛИ С ПРОБЕГОМ""- примем на комиссию ВАШ автомобиль- отсутствие скрытых платежей и дополнительных комиссий- предоставляется тест- драйв на автомобиле перед покупкой- предпродажная подготовка с техническим обслуживанием- возможность обмена представленного автомобиля на Ваш.- заключение договоров с организациями на реализацию автомобилей.- срочный выкуп авто 24 часа на выгодных условиях- в любом состоянии, как целые так и после ДТП (состояние не имеет значение)!!! с любыми юридическими и техническими проблемами!!!- конструктора, распилы, каркасы, аннулированные, планки, с арестами.- РАБОТАЕМ ПО ВСЕМУ ЗАБАЙКАЛЬСКОМУ КРАЮСМОТРИТЕ КАРТОЧКУ ПРОДАВЦА↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓"
Лада,Веста,"Сургут, Ханты-Мансийский автономный округ",2021,1170000,бензин 1.6 л,106л.с.,механика,передний,седан,белый,54000км,левый,1 поколение,,05.05.2024, 32,"Модель: ВестаКомплектация: Classic Start (2016-2018)✅ ЭПТС.✅ 1 владелец.✅ Заводской окрас кузова.✅ Автомобиль в хорошем состоянии!✅ Юридически чистый (без залогов, запретов и т.д.)✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Hyundai,Tucson,"Сургут, Ханты-Мансийский автономный округ",2016,1980000,бензин 1.6 л,177л.с.,робот,4WD,,белый,94000км,левый,3 поколение,,05.05.2024, 37,"Модель: TucsonКомплектация: Travel✅ Полный привод (4WD).✅ 1 Владелец.✅ ПТС Оригинал.✅ Богатая комплектация. (Travel) .✅ Дилерское обслуживание.✅ Кожаный салон.✅ Камера заднего вида.✅ Раздельный климат-контроль.✅ Круиз-контроль.✅ Заводской окрас кузова .✅ Чистый и прозрачный отчет автомобиля.✅ Юридически чистый (без залогов, запретов и т.д.).✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компанииДополнительное оборудование:✅ Сигнализация с автозапуском.✅ Предпусковой подогрев WEBASTO.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Kia,Ceed,"Сургут, Ханты-Мансийский автономный округ",2008,720000,бензин 1.6 л,122л.с.,АКПП,передний,хэтчбек 5 дв.,синий,235000км,левый,1 поколение,,05.05.2024, 38,"Модель: CeedКомплектация: Комфорт ESP✅ Двигатель 1.6л. (122 л. с.)✅ КПП - Автомат.✅ Автомобиль в хорошем состоянии.✅ Юридически чистый (без залогов, запретов и т.д.).✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!Дополнительное оборудование:✅ Сигнализация с автозапуском.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Geely,Atlas,"Сургут, Ханты-Мансийский автономный округ",2019,1950000,бензин 2.4 л,149л.с.,автомат,4WD,,коричневый,48344км,левый,,,05.05.2024, 47,"✅ Продажа с гос. номером *707**186✅ Двигатель 2.4 л. (149 л.с.)✅ Классический автомат (6-ст.)✅ Полный привод (4WD).✅ Заводской окрас кузова.✅ Юридически чистый (без залогов, запретов и т.д.).✅ ПТС оригинал.✅ В эксплуатации с марта 2020 г.✅ Богатая комплектация “Luxe”: Камеры кругового обзора (360), раздельный климат-контроль, круиз-контроль, эл. привод регулировок передних сидений. Подогрев передних и задних сидений, лобового стекла в зоне стеклоочистителей, боковых зеркал, Датчики света, дождя, парковки.✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компанииДополнительное оборудование:✅ Сигнализация с автозапуском.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Mazda,CX-5,"Сургут, Ханты-Мансийский автономный округ",2016,2185000,бензин 2.0 л,150л.с.,АКПП,передний,,красный,109351км,левый,,,05.05.2024, 22,"Модель: CX-5Комплектация: Active✅ 1 Владелец.✅ Отличное состояние!✅ Заводской окрас кузова (без ДТП).✅ Юридически чистый (без залогов, запретов и т.д.).✅ Круиз-контроль.✅ Климат-контроль .✅ Мультимедиа + камера заднего вида.✅ Подогрев сидений, боковых зеркал.✅ Мультируль.✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!Дополнительное оборудование:✅ Сигнализация с автозапуском.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Mitsubishi,Lancer,Омск,2004,255000,бензин 1.5 л,90л.с.,вариатор,передний,седан,серый,247000км,правый,9 поколение рестайлинг,1.5 MX-E business package,05.05.2024, 359,На полном ходу !Родной ПТС !2 хозяина !Стаканы не гнелые !Затягивает коробка !Двс в идеале !Юридически чистая!Торг у авто…
Renault,Sandero,"Сургут, Ханты-Мансийский автономный округ",2016,899000,бензин 1.6 л,82л.с.,механика,передний,,зеленый,71000км,левый,2 поколение,,05.05.2024, 29,"Модель: Sandero StepwayКомплектация: Confort✅ Автомобиль в хорошем состоянии.✅ Юридически чистый (без залогов, запретов и т.д.).✅ Подогрев сидений, зеркал.✅ Кондиционер.✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!Дополнительное оборудование:✅ Сигнализация с автозапуском.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
Лада,Веста,"Сургут, Ханты-Мансийский автономный округ",2019,1139000,бензин 1.6 л,106л.с.,робот,передний,седан,красный,44000км,левый,1 поколение,,05.05.2024, 23,"Модель: ВестаКомплектация: Luxe Юбилейная✅ 1 Владелец.✅ Отличное состояние!✅ Заводской окрас кузова (без ДТП).✅ Юридически чистый (без залогов, запретов и т.д.).✅ Автомобиль приобретался новым у официального дилера в г. Сургуте.✅ Круиз-контроль.✅ Кондиционер.✅ Мультимедиа + камера заднего вида.✅ Подогрев сидений, боковых зеркал.✅ Мультируль.✅ Пройдена предпродажная подготовка.✅ Возможно приобрести автомобиль с технической гарантией на 1 год от компании KARSO!Дополнительное оборудование:✅ Сигнализация с автозапуском.❗️ЧЕСТHАЯ ЦEНА❗️Вы можете приобрести автомобиль любым удобным способом: за наличные, в кредит или трейд-ин, стоимость в объявлении актуальна и не меняется в зависимости от способа покупкиУ нас нет скрытых доплат, платежей и комиссий!📝 НАПИШИТЕ В ЧАТ, ЧТОБЫ ПОЛУЧИТЬ БЕСПЛАТНЫЙ ОТЧЕТ ИСТОРИИ АВТО.На сайте нашей компании Вы сможете:• Получить VIN код.• Записаться на Trade-In.• Рассчитать и оформить кредит дистанционно;• Забронировать автомобиль;"
